,last_price,buy_price,shares,cost,value,pnl,pnl_pct,weight
영원무역홀딩스,120900.0,130600,8,1044800,967200.0,-77600.0,-7.427258805513016,0.20194512070355075
강원랜드,17980.0,18670,30,560100,539400.0,-20700.0,-3.6957686127477234,0.11262324039236483
동아쏘시오홀딩스,104500.0,111060,5,555300,522500.0,-32800.0,-5.906717089861336,0.10909462941232968
삼성물산,162100.0,162600,3,487800,486300.0,-1500.0,-0.3075030750307503,0.10153630293438454
LG유플러스,14970.0,14710,31,456010,464070.0,8060.0,1.7675050985723997,0.09689482233756906
KT,55400.0,54400,8,435200,443200.0,8000.0,1.8382352941176472,0.09253730096754931
세아베스틸지주,26950.0,29050,16,464800,431200.0,-33600.0,-7.228915662650602,0.09003177837817523
오리온홀딩스,19750.0,20600,18,370800,355500.0,-15300.0,-4.12621359223301,0.07422610671020709
현대지에프홀딩스,7380.0,8200,45,369000,332100.0,-36900.0,-10.0,0.06934033766092763
아모레퍼시픽홀딩스,27550.0,28400,9,255600,247950.0,-7650.0,-2.992957746478873,0.0517703605029419
